"gene_id","gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000024164.15_C3","C3",30745.0727257631,5.08412616453241,0.581725918664325,8.73972776768455,2.33672820570604e-18,1.17751214519025e-15
"ENSMUSG00000049625.6_Tifab","Tifab",496.423806355319,2.62457862945442,0.300794729937487,8.72548076224567,2.65052161535556e-18,1.2308814497663e-15
"ENSMUSG00000066363.12_Serpina3f","Serpina3f",581.650414559508,3.50997918021994,0.402214658536967,8.72663167719268,2.62369825599295e-18,1.2308814497663e-15
"ENSMUSG00000074570.14_Cass4","Cass4",131.541275233625,2.40069609843242,0.275127756888587,8.72575026810026,2.64421630416489e-18,1.2308814497663e-15
"ENSMUSG00000075010.5_AW112010","AW112010",1743.15592247791,4.45551474744712,0.51049838960404,8.72777434401501,2.59733231496695e-18,1.2308814497663e-15
"ENSMUSG00000046805.10_Mpeg1","Mpeg1",8655.2695651798,3.0659168148026,0.352201112744373,8.70501740018021,3.17526038902368e-18,1.44620898180071e-15
"ENSMUSG00000073421.6_H2-Ab1","H2-Ab1",21160.3077734679,3.75892926527358,0.43254315722464,8.69029876554349,3.61487582765698e-18,1.6153720585326e-15
"ENSMUSG00000078502.10_Gm13212","Gm13212",125.7478071693,2.54510322720764,0.293222137365301,8.67977858041771,3.96540044994235e-18,1.73919526400805e-15
"ENSMUSG00000026571.12_Dcaf6","Dcaf6",877.966535992976,-1.28232517295141,0.147945717551214,-8.66753829834586,4.41563138699271e-18,1.9014511594461e-15
"ENSMUSG00000038037.5_Socs1","Socs1",313.668067951276,3.17153373703207,0.366050620155034,8.66419441029446,4.54716852428245e-18,1.92312748801974e-15
"ENSMUSG00000030830.18_Itgal","Itgal",1384.92485067993,3.74216126056769,0.432580141598361,8.6507929992824,5.1142795141067e-18,2.12502800021234e-15
"ENSMUSG00000056145.5_AI504432","AI504432",344.821771732811,3.60656451762889,0.417917862224325,8.62984055870049,6.14375563548901e-18,2.50877083570555e-15
"ENSMUSG00000001119.7_Col6a1","Col6a1",17067.3860681061,1.7959079174501,0.208644533927672,8.60750043934847,7.46708655483473e-18,2.99746572821535e-15
"ENSMUSG00000001281.10_Itgb7","Itgb7",927.997119483423,4.00040660536848,0.465494259001517,8.5938903176794,8.40732801975325e-18,3.31865261366393e-15
"ENSMUSG00000068227.9_Il2rb","Il2rb",1321.30498824361,3.56584953775238,0.416332333001833,8.56491138231313,1.08158997215682e-17,4.19940604927249e-15
"ENSMUSG00000041481.16_Serpina3g","Serpina3g",1392.84757653153,3.12963673948051,0.36553522411692,8.56179249767587,1.11126072388512e-17,4.24501596524116e-15
"ENSMUSG00000015340.10_Cybb","Cybb",6620.52664527737,3.91611037735275,0.458458494053428,8.54190821666045,1.32023278022758e-17,4.88568643232969e-15
"ENSMUSG00000031264.13_Btk","Btk",196.138610920814,2.10473185649483,0.246393245948421,8.54216538441735,1.31729711987823e-17,4.88568643232969e-15
"ENSMUSG00000018654.17_Ikzf1","Ikzf1",684.753353787919,2.39968505916177,0.281573508023291,8.52241063446662,1.56266215928635e-17,5.69386008931354e-15
"ENSMUSG00000024610.15_Cd74","Cd74",47801.8164398947,3.57276451512772,0.419514822439666,8.51642021693177,1.64560931865425e-17,5.90524410651624e-15
"ENSMUSG00000038521.17_C1s1","C1s1",4305.20699965243,3.26914540864322,0.384954682050706,8.49228639388937,2.02610971876836e-17,7.16214665362834e-15
"ENSMUSG00000079293.11_Clec7a","Clec7a",3616.21914057993,4.93273222185864,0.580983605130048,8.49031225374164,2.0608263065269e-17,7.17773680055635e-15
"ENSMUSG00000024986.12_Hhex","Hhex",111.172655752155,2.22117112985501,0.261725084764908,8.48665740943463,2.12665533493349e-17,7.29966738442969e-15
"ENSMUSG00000073902.5_Gm1966","Gm1966",1745.4682041659,2.61317641003275,0.308362648932858,8.47436101316453,2.36373351743257e-17,7.9975235181247e-15
"ENSMUSG00000030142.10_Clec4e","Clec4e",527.233208967746,6.14141607735994,0.725207099043266,8.46849966783564,2.48573945022884e-17,8.29186663932674e-15
"ENSMUSG00000020227.10_Irak3","Irak3",233.017141031083,2.23305645578581,0.263858749516692,8.46307526233672,2.60417530143684e-17,8.56628997767086e-15
"ENSMUSG00000002111.8_Spi1","Spi1",595.32753850973,2.35303321972997,0.278654036694863,8.44428183291182,3.05920322897355e-17,9.92522866780954e-15
"ENSMUSG00000030577.14_Cd22","Cd22",354.386599543022,3.42229189371759,0.406242324557428,8.42426228592978,3.63030231468265e-17,1.161892973256e-14
"ENSMUSG00000037649.10_H2-DMa","H2-DMa",1647.83386095119,2.9836467199274,0.35508150142853,8.40270954111627,4.36292889088159e-17,1.37775477135519e-14
"ENSMUSG00000051457.7_Spn","Spn",843.641204882191,2.56350941122991,0.305788242822818,8.38328310979333,5.14714750767066e-17,1.60401370489042e-14
"ENSMUSG00000020826.8_Nos2","Nos2",1677.57041421326,6.2918599911013,0.751837501991749,8.36864345610994,5.82853156479616e-17,1.79276547507315e-14
"ENSMUSG00000044309.8_Apol7c","Apol7c",202.561758222851,4.28704121870697,0.512719997464625,8.36136924618931,6.19944802787401e-17,1.8824067575919e-14
"ENSMUSG00000001444.2_Tbx21","Tbx21",124.889936180994,3.80811189938969,0.455690746541231,8.35679005618153,6.44478464726868e-17,1.93213012134065e-14
"ENSMUSG00000032024.10_Clmp","Clmp",526.430871670293,2.30896717958661,0.27721049571329,8.32929205528602,8.13272103721541e-17,2.40769206306762e-14
"ENSMUSG00000054072.12_Iigp1","Iigp1",10058.7693487144,2.97187413290803,0.357341632857867,8.3166187749808,9.05082855979765e-17,2.64641757543516e-14
"ENSMUSG00000031101.6_Sash3","Sash3",480.158653757893,2.54864271236556,0.306834981468693,8.30623255590435,9.87885306598874e-17,2.85330190262046e-14
"ENSMUSG00000030149.15_Klrk1","Klrk1",567.115800169168,3.20100002006399,0.385743066589086,8.29826974822561,1.05638601951276e-16,3.01439114290846e-14
"ENSMUSG00000062585.11_Cnr2","Cnr2",163.022814342234,2.59983260900564,0.313357805923701,8.29669010906552,1.07052148677197e-16,3.01836082056039e-14
"ENSMUSG00000002699.13_Lcp2","Lcp2",778.973125961304,2.41971017382068,0.291776396696621,8.2930291867872,1.10400237629637e-16,3.0761402682592e-14
"ENSMUSG00000002033.14_Cd3g","Cd3g",286.894119137618,3.686595494307,0.445055140836184,8.28345783711318,1.19649348250179e-16,3.29508739995029e-14
"ENSMUSG00000028874.14_Fgr","Fgr",417.3865548864,3.07481497986442,0.372065145018426,8.2641844339172,1.40653011223097e-16,3.8289953078251e-14
"ENSMUSG00000015437.5_Gzmb","Gzmb",405.50802351791,4.5128687759279,0.546743033947158,8.25409469481063,1.53057965544289e-16,4.10963756560666e-14
"ENSMUSG00000070427.4_Il18bp","Il18bp",616.414156596644,3.13372381268599,0.379706002829891,8.25302678738504,1.54432419920196e-16,4.10963756560666e-14
